日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-18,福州,二线城市,福建,小雨,36,0.50,0.5909
2026-07-18,金华,二线城市,浙江,小雨,35,0.00,0.725
2026-07-18,温州,二线城市,浙江,多云,38,0.00,0.7714
2026-07-18,无锡,二线城市,江苏,小雨,35,0.00,0.5429
2026-07-18,厦门,二线城市,福建,小雨,32,0.00,0.5625
2026-07-18,惠州,二线城市,广东,雷阵雨,32,0.00,0.7333
2026-07-18,漳州,二线城市,福建,小雨,35,0.00,1.0
2026-07-18,哈尔滨,二线城市,黑龙江,多云,30,0.00,0.7037
2026-07-18,徐州,二线城市,江苏,多云,30,0.00,0.7692
2026-07-18,石家庄,二线城市,河北,多云,31,0.00,0.8261
2026-07-18,济南,二线城市,山东,多云,32,0.00,0.8636
2026-07-18,南宁,二线城市,广西,阵雨,31,0.00,0.7895
2026-07-18,保定,二线城市,河北,雷阵雨,30,0.00,1.0
2026-07-18,太原,二线城市,山西,小雨,32,0.00,0.5625
2026-07-18,长春,二线城市,吉林,阴,28,0.50,0.5714
2026-07-18,兰州,二线城市,甘肃,多云,30,0.50,0.5
2026-07-18,烟台,二线城市,山东,多云,25,0.00,1.0
2026-07-18,贵阳,二线城市,贵州,阵雨,26,0.00,0.625
2026-07-18,昆明,二线城市,云南,小雨,24,0.50,0.6667
2026-07-18,中山,二线城市,广东,雷阵雨,31,0.50,0.6
2026-07-18,珠海,二线城市,广东,雷阵雨,30,0.00,1.0
2026-07-18,五指山,二线城市,海南,雷阵雨,31,0.00,1.0
2026-07-18,淮安,三线城市,江苏,小雨,29,0.00,0.7042
2026-07-18,洛阳,三线城市,河南,阴,34,0.00,1.0
2026-07-18,台州,三线城市,浙江,多云,36,0.00,0.5965
2026-07-18,盐城,三线城市,江苏,小雨,32,0.00,0.8056
2026-07-18,开封,三线城市,河南,阴,33,0.00,0.9706
2026-07-18,湖州,三线城市,浙江,小雨,34,0.00,0.7667
2026-07-18,汕头,三线城市,广东,雷阵雨,31,0.00,1.0
2026-07-18,扬州,三线城市,江苏,多云,32,0.00,0.6786
2026-07-18,绵阳,三线城市,四川,阴,33,0.00,1.0
2026-07-18,芜湖,三线城市,安徽,小雨,32,0.00,1.0
2026-07-18,济宁,三线城市,山东,多云,30,0.00,1.0
2026-07-18,镇江,三线城市,江苏,多云,34,0.00,0.7
2026-07-18,阜阳,三线城市,安徽,小雨,31,0.00,1.0
2026-07-18,宿迁,三线城市,江苏,阴,31,0.00,1.0
2026-07-18,赣州,三线城市,江西,雷阵雨,36,0.00,1.0
2026-07-18,六安,三线城市,安徽,小雨,29,0.00,1.0
2026-07-18,南充,三线城市,四川,多云,35,0.00,1.0
2026-07-18,马鞍山,三线城市,安徽,小雨,32,0.00,1.0
2026-07-18,宜昌,三线城市,湖北,小雨,27,0.00,0.7143
2026-07-18,莆田,三线城市,福建,小雨,34,0.00,0.7857
2026-07-18,滁州,三线城市,安徽,小雨,31,0.00,1.0
2026-07-18,宁德,三线城市,福建,小雨,36,0.00,1.0
2026-07-18,枣庄,三线城市,山东,阴,30,0.00,1.0
2026-07-18,宿州,三线城市,安徽,小雨,30,0.00,1.0
2026-07-18,上饶,三线城市,江西,多云,34,0.00,1.0
2026-07-18,衡阳,三线城市,湖南,阴,36,0.00,1.0
2026-07-18,揭阳,三线城市,广东,中雨,31,0.00,0.8182
2026-07-18,廊坊,三线城市,河北,雷阵雨,30,0.00,1.0
2026-07-18,安庆,三线城市,安徽,中雨,31,0.00,1.0
2026-07-18,咸阳,三线城市,陕西,多云,33,0.00,0.7273
2026-07-18,连云港,三线城市,江苏,阴,28,0.00,1.0
2026-07-18,渭南,三线城市,陕西,多云,36,0.00,1.0
2026-07-18,银川,三线城市,宁夏,多云,33,0.00,0.6
2026-07-18,岳阳,三线城市,湖南,小雨,32,0.00,1.0
2026-07-18,邢台,三线城市,河北,中雨,30,0.00,1.0
2026-07-18,淄博,三线城市,山东,多云,31,0.00,0.6667
2026-07-18,商丘,三线城市,河南,多云,32,0.00,1.0
2026-07-18,荆州,三线城市,湖北,小雨,29,0.00,0.75
2026-07-18,湛江,三线城市,广东,多云,33,0.00,0.875
2026-07-18,海口,三线城市,海南,小雨,35,0.50,0.5
2026-07-18,肇庆,三线城市,广东,雷阵雨,32,0.00,1.0
2026-07-18,周口,三线城市,河南,阴,35,0.00,1.0
2026-07-18,宜春,三线城市,江西,雷阵雨,35,0.00,1.0
2026-07-18,九江,三线城市,江西,雷阵雨,33,0.00,0.8571
2026-07-18,信阳,三线城市,河南,小雨,33,0.00,1.0
2026-07-18,聊城,三线城市,山东,多云,31,0.00,1.0
2026-07-18,桂林,三线城市,广西,阵雨,32,0.00,1.0
